operation-id	line	location	from-bytes	from-sha256	from-base64	to-bytes	to-sha256	to-base64
C-01	3	Subtitle	65	5b1b8991f68c1ca07f1077d9444d3483a45d2150b9cacb8e5c4daf3f0832ee0a	IyMgUHJvcG9zZWQgY29ycHVzIGNoYXJ0ZXIsIG1hbmlmZXN0LCBhbmQgVzAtMTcgcmVmcmVzaCBjYW5kaWRhdGU=	67	967c85167e5dcc3bf12189a60eaf50af8d1c18bad2a70374f14fe755e48c76b5	IyMgTm9ybWF0aXZlIGNvcnB1cyBjaGFydGVyLCBtYW5pZmVzdCwgYW5kIGFjdGl2ZSBXYXZlIDEgY29tbWlzc2lvbg==
C-02	11	Status	20	0543142da3259361734dfd144eff6e5118eacbcbe195a05fc9dc309cae187697	KipTdGF0dXM6KiogUHJvcG9zZWQ=	21	5a307778c55b4d096a0d43f3cca13ff572eb06685fd3a5395c75bf8f2280d83c	KipTdGF0dXM6KiogTm9ybWF0aXZl
C-03	13	Settledness	70	f0869a07cd5197bd787e2ecb0c7e4617798b5f3852cff2c7a2d20d3b29aa9dab	KipTZXR0bGVkbmVzczoqKiBIWVBPVEhFU0lTIGNhbmRpZGF0ZTsgYXJ0aWZhY3Qgc3RhbmRpbmcgbm90IGNvbmZlcnJlZA==	27	51b7185d82ea850cb365e7fe5396f9d5ebf8a66a9ab92f19474e1090de556f8d	KipTZXR0bGVkbmVzczoqKiBIWVBPVEhFU0lT
C-04	15	Classification	91	155d3e4e864325481e135c8eccebceb5f0db79e8fff9d466c0963938f5b3bd01	KipDbGFzc2lmaWNhdGlvbjoqKiBQcm9ncmFtIHdvcmtpbmctcmVmZXJlbmNlIGNhbmRpZGF0ZSB1bmRlciB0aGUgU3RhZ2UgQSBwcmVwYXJhdGlvbiBncmFudA==	45	db8d5bbe8864202971a5e6d3082be21b7881edefd57842c5bd6e3ae3ef82be3a	KipDbGFzc2lmaWNhdGlvbjoqKiBQcm9ncmFtIHdvcmtpbmcgcmVmZXJlbmNl
C-05	17	Governing status	160	8a1c01f3aebacd6ea30aac8e6759ceb0a9c07d9c28079f51a78d4accb5a3e105	KipHb3Zlcm5pbmcgc3RhdHVzOioqIGBSRUctRC0wMTdgIGVzdGFibGlzaGVzIHRoZSBDU0FBIHByb2dyYW0gYW5kIHBlcm1hbmVudCBpZGVudGlmaWVyIHJlc2VydmF0aW9uczsgdGhpcyBQcm9wb3NlZCBzdWNjZXNzb3IgaXMgbm90IGFkb3B0ZWQgYW5kIGRvZXMgbm90IGdvdmVybg==	202	ce5bb34f42df0c96835ed094dfb7b924ffa757444665c982f84a6b5af9130d2d	KipHb3Zlcm5pbmcgc3RhdHVzOioqIGBSRUctRC0wMTdgIGVzdGFibGlzaGVzIHRoZSBDU0FBIHByb2dyYW0gYW5kIHBlcm1hbmVudCBpZGVudGlmaWVyIHJlc2VydmF0aW9uczsgYEpQV0ItUkVHLTAwNSBSRUctRC0wMThgIGFkb3B0cyBgSkFOLUNTQUEtMDAwQDAuMy4wYCBhcyBhIEhZUE9USEVTSVMtZ3JhZGUgcHJvZ3JhbSB3b3JraW5nIHJlZmVyZW5jZQ==
C-06	19	Role	147	112d994a6b64b6918a3d7433436b0e204929262ae58aa0f16b4fdea4b6f7852a	KipSb2xlOioqIFByb3Bvc2VkIGNvcnB1cyBlbnRyeSBwb2ludCwgc2NvcGUgYW5kIGF1dGhvcml0eS1ib3VuZGFyeSBjaGFydGVyLCBjb250cm9sbGVkIG1hbmlmZXN0LCBhbmQgc3RhZ2VkIGF1dGhvcmluZy1jb21taXNzaW9uIHJlZnJlc2ggY2FuZGlkYXRl	138	55f3ab40b747a7b08a45b7c444bee0d9e7f40d0ff299c579e185190f37a7e1c1	KipSb2xlOioqIE5vcm1hdGl2ZSBjb3JwdXMgZW50cnkgcG9pbnQsIHNjb3BlIGFuZCBhdXRob3JpdHktYm91bmRhcnkgY2hhcnRlciwgY29udHJvbGxlZCBtYW5pZmVzdCwgYW5kIHN0YWdlZCBhdXRob3JpbmctY29tbWlzc2lvbiBjb250cm9s
C-07	21	Authority	127	d39039d228d2d033e6ecd10d189cb48abd0653f4fcde18064cdee9a4a150113b	KipBdXRob3JpdHk6KiogTm9uZSBhcyBhIENTQUEgbWVtYmVyLiBgUkVHLUQtMDE3YCBhdXRob3JpemVzIHByZXBhcmF0aW9uLCBsZWRnZXIvcmV2aWV3IHdvcmssIGFuZCBhIFcwLTE3IGFkb3B0aW9uIHBhY2thZ2Ugb25seQ==	153	ff943882fc85f6ab2c3f903596606c4db16e6e8f455f2a3b641d9acaf9a9c8d4	KipBdXRob3JpdHk6KiogYEpQV0ItUkVHLTAwNSBSRUctRC0wMThgIHdpdGhpbiB0aGUgc3RhdGVkIGBHb3Zlcm5zYCBib3VuZGFyeTsgc3Vib3JkaW5hdGUgdG8gY2Fub24gYW5kIHJlY29nbml6ZWQgZW5mb3JjZWQgcmVmZXJlbmNlIGFydGlmYWN0cyBieSBjb25jZXJu
C-08	23	Stage A grant	128	16e9ee0d74f2dc82658b9ff2ab7934d0c74cf518fd9d1b8e6f72205f6bbd96ca	KipTdGFnZSBBIGdyYW50OioqIGBKUFdCLVJFRy0wMDUgUkVHLUQtMDE3YCDigJQgRUZGRUNUSVZFOyBzdWNjZXNzb3IgbGVkZ2VyIGFuZCBzZWxmLXJldmlldyBhcmUgY2xvc2VkOyBhZG9wdGlvbiByZW1haW5zIHBlbmRpbmc=	90	230c2088bbb52d5c6889310a0aaeb51bf0113987f1f187be2bdf2a54bc53a3f0	KipTdGFnZSBBIGdyYW50OioqIGBKUFdCLVJFRy0wMDUgUkVHLUQtMDE3YCDigJQgRUZGRUNUSVZFOyBTdGFnZSBBIHByZXBhcmF0aW9uIGlzIGNvbXBsZXRl
C-09	25	Stage B gate	307	db89c5477f2e18668c3a6537591fd537ec0f18a91ecb6c43a91c2883c6588864	KipTdGFnZSBCIGdhdGU6KiogVGhlIGAwLjIuMWAgcGFja2FnZSB3YXMgcHJlc2VudGVkIGFuZCByZWNlaXZlZCBhbiBpdGVtaXplZCBzcG9uc29yIHJlc3BvbnNlLCBidXQgbWFuZGF0b3J5IHByZS1yZWNvcmRpbmcgZnJlc2huZXNzIGNoZWNrcyBibG9ja2VkIGNvbmZlcnJhbDsgdGhpcyBgMC4zLjBgIHN1Y2Nlc3NvciByZXF1aXJlcyBpdHMgb3duIGV4YWN0LXZlcnNpb24vZGlnZXN0IHNwb25zb3IgY29uZmVycmFsLCBhbmQgcHJlc2VudGF0aW9uIGFsb25lIGNvbmZlcnMgbm8gYXV0aG9yaXR5IG9yIGNvbW1pc3Npb24gYWN0aXZhdGlvbg==	162	bdc3595200175178ab76bda63b731810414bb7a03252428b141dcf96590ece74	KipTdGFnZSBCIGdhdGU6KiogU2F0aXNmaWVkIGJ5IGBKUFdCLVJFRy0wMDUgUkVHLUQtMDE4YDsgdGhlIGRvY3VtZW50YXRpb24tb25seSBXYXZlIDEgY29tbWlzc2lvbiBmb3IgYEpBTi1DU0FBLTAwMWAsIGBKQU4tQ1NBQS0wMDJgLCBhbmQgYEpBTi1DU0FBLTAwNWAgaXMgYWN0aXZl
C-10	29	Applicability	195	0e3548a7cd358559911962c50b893deb5d0fb76b75f3ee8b4506292f56ab75e8	KipBcHBsaWNhYmlsaXR5OioqIFRoaXMgY2hhcnRlciBjYW5kaWRhdGUgYW5kLCBvbmx5IGFmdGVyIHRoZWlyIG93biBjb21taXNzaW9ucyBhbmQgYWRvcHRpb25zLCB0aGUgY29udHJvbGxlZCBgSkFOLUNTQUEtMDAxYCB0aHJvdWdoIGBKQU4tQ1NBQS0wMTFgIG1lbWJlcnMgYW5kIHRoZWlyIGFsbG9jYXRlZCByZWZlcmVuY2UgYXJ0aWZhY3Rz	195	4d9d1681cb29ad1d143054ff5438cc785815267259138f3b1fbc39696a7abedc	KipBcHBsaWNhYmlsaXR5OioqIFRoaXMgTm9ybWF0aXZlIGNoYXJ0ZXIgYW5kLCBvbmx5IGFmdGVyIHRoZWlyIG93biBjb21taXNzaW9ucyBhbmQgYWRvcHRpb25zLCB0aGUgY29udHJvbGxlZCBgSkFOLUNTQUEtMDAxYCB0aHJvdWdoIGBKQU4tQ1NBQS0wMTFgIG1lbWJlcnMgYW5kIHRoZWlyIGFsbG9jYXRlZCByZWZlcmVuY2UgYXJ0aWZhY3Rz
