Tool Status,Tool Name,State,County / City / Locality,Password Protected,Site Short Name,URL,Underlying Software,Page Load Times,Description,Prompt Template,Address Formatting Requirements,Detailed Example,HTML Chunker Extractor Name
Active,Property_History_Retrieval_Tool,VA,Fairfax County,No,LDIP,https://ldip.fairfaxcounty.gov/,,,Property History for Fairfax County Virginia addresses,"You need to retrieve the property permit history for the following address in {TARGET_PROPERTY_COUNTY}, {TARGET_PROPERTY_STATE}

This website has particular form data entry that is described next.

The search field for addresses is the address field. The full street number and street name go into the text field. 

NOTA BENE: If you are given an address like ""904 Timber Lane Southwest"" - with specific reference to the directionality in the street name -  then there can be a follow on search output (i.e., ""Did you mean:"")  return which will ask you to select between, e.g.,  ""000904 TIMBER S W LA (2)"" or ""000904 TIMBER LA (9)"" then in this case you would choose the former value ""000904 TIMBER S W LA (2)"".

Below are detailed instructions.

Navigate to {URL}

Wait 10 seconds.

Target Property Address: {TARGET_PROPERTY_ADDRESS}

Enter the full address.

Press the submit or search button.

Wait 10 seconds.

Once the search results are returned, execute Scrape All Pages action with the following configuration:

-- Property ID: {TARGET_PROPERTY_ID}
-- Source Name: {TARGET_PROPERTY_COUNTY}
-- Source State: {TARGET_PROPERTY_STATE}
-- Scrape Type: {SCRAPE_TYPE}
-- Max Pages: 40
-- Wait Time: 10
-- Tracking ID: {TRACKING_ID}



(NOTA BENE: If no search results are returned or the table is empty simply return ""No permits found."")",306 Tapawingo Rd SW,,VA_Fairfax_County_LDIP_extract_search_results
Active,Permit_and_License_History_Retrieval_Tool,VA,Fairfax County,No,,https://plus.fairfaxcounty.gov/CitizenAccess/Cap/CapHome.aspx?module=Building&TabName=Building&TabList=Home%7C0%7CBuilding%7C1%7CEnforcement%7C2%7CEnvHealth%7C3%7CFire%7C4%7CPlanning%7C5%7CSite%7C6%7CZoning%7C7%7CProffer%7C8%7CCurrentTabIndex%7C1,"<html ng-app=""appAca""",,Fairfax County Virginia permit history for contractors and license holders,,,,
Active,State_Professional_Licenses_Retrieval_Tool,VA,ALL,No,,https://www.dpor.virginia.gov/LicenseLookup,,,Virginia Department of Professional and Occupational Regulation; used to lookup professional license information for contractors,,,,
Active,Google_Maps_Search_Browser_Use_Tool,ALL,ALL,No,,https://maps.google.com,,,Google Maps Search for locating initial contractor candidates,,,,
Active,Bing_Maps_Search_Browser_Use_Tool,ALL,ALL,No,,https://www.bing.com/maps,,,Bing Maps Search for locating initial contractor candidates,"You need to search for candidate contractors / service providers who provide ""plumbing"" services near ""20151""",,,
Active,Property_History_Retrieval_Tool,VA,Loudon County,No,,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/search,"href=""https://cdn.forge.tylertech.com/v1/images/branding/tyler/talking-t-logo.svg""",,Property History for Loudon County Virginia addresses,"You need to retrieve the property permit history for the following address in Loudon County, Virginia.

This website has particular form data entry that is described next.

The search field for addresses is an all-in-one text field. The full street number and street name go into the text field. However, addresses need to be in U.S. Postal Service Addressing Standard Publication 28 format. 

E.g., if you are given the address ""1308 White Feldspar Terrace Southeast"", that needs to be converted to ""1308 White Fieldspar Terr SE"". Or if you are given the address ""20638 Crescent Pointe Place"" that needs to be converted to ""20638 Crescent Pointe Pl"".

Below are detailed instructions.

Navigate to https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/search

Page loads slowly. Wait 10 seconds for the page to load fully.

Target Property Address: 853 MacAlister Drive Southeast

Enter the full address.

Press the submit or search button.

Page loads slowly. Wait 20 seconds for the page to load fully.

Retrieve search results from the table. (NOTA BENE: If no search results are returned or the table is empty simply return ""No permits found."")","Postal Addressing Standards Publication 28 format:

1308 WHITE FELDSPAR TER SE LEESBURG VA

(Use ""Exact Phrase"" checkbox)",,
Active,Permit_and_License_History_Retrieval_Tool,VA,Loudon County,<TBD>,,"Call county at: 
Request from service provider on registration",,,,,,,
Active,Geocode_Address_Formatting_Tool,ALL,ALL,Yes,,"https://atlas.microsoft.com/search/address/json?&subscription-key={Your-Azure-Maps-Subscription-key}&api-version=1.0&language=en-US&query=400 Broad St, Seattle, WA 98109",,,Geocode and format U.S. based addresses,,,,
Active,Azure_Maps_Search_API_Tool,ALL,ALL,Yes,,https://atlas.microsoft.com/search/address/json?api-version=1.0&query=roof+leak+repair+contractors&subscription-key=YOUR_AZURE_MAPS_KEY&lat=38.8942&lon=-77.4311&radius=16093&category=repair&include=rating,,,"Find contractors using the Azure Maps API.

NOTA BENE: This method does not provide ratings at all the way Browser Use version do.",,,,
Active,US_Postal_Addressing_Tool,ALL,ALL,<TBD>,,Internal + ChatGPT + [TBD],,,"https://github.com/google/libaddressinput

https://developers.google.com/maps/documentation/address-validation/requests-validate-address

https://jsjungle.dev/blog/address-formatting-in-javascript",,,,
